Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EVA,PPA,SHA,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,,,
Justin Abdelkader,31,DET,LW,71,6,13,19,-14,38,4,1,1,0,12,1,0,95,6.3,1093,15:24,34,185,52,51,50.5,,,
Pontus Aberg,25,TOT,LW,59,12,13,25,-14,20,9,3,0,1,9,4,0,101,11.9,861,14:36,11,45,2,17,10.5,,,
Vitaly Abramov,20,OTT,RW,1,0,0,0,-3,0,0,0,0,0,0,0,0,0,,14,13:52,1,0,0,0,,,,
Noel Acciari,27,BOS,C,72,6,8,14,-3,47,6,0,0,2,8,0,0,99,6.1,935,12:59,36,221,200,203,49.6,,,
Kenny Agostino,26,TOT,LW,63,6,18,24,-3,34,6,0,0,0,13,5,0,79,7.6,814,12:55,14,143,15,27,35.7,,,
Andrew Agozzino,28,COL,LW,11,1,1,2,2,0,1,0,0,0,1,0,0,11,9.1,86,7:49,3,14,16,22,42.1,,,
Sebastian Aho,21,CAR,C,82,30,53,83,25,26,23,3,4,7,31,21,1,243,12.3,1652,20:09,34,65,585,619,48.6,,,
Mark Alt,27,COL,D,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20,9:55,2,0,0,0,,,,
Karl Alzner,30,MTL,D,9,0,1,1,1,2,0,0,0,0,1,0,0,8,0,156,17:18,10,13,0,0,,,,
Michael Amadio,22,LAK,C,43,6,7,13,-1,6,6,0,0,0,7,0,0,37,16.2,439,10:12,13,16,96,127,43,,,
Joey Anderson,20,NJD,RW,34,4,3,7,-7,6,3,0,1,1,3,0,0,49,8.2,439,12:54,11,42,9,8,52.9,,,
Josh Anderson,24,CBJ,RW,82,27,20,47,25,60,22,3,2,5,15,4,1,230,11.7,1396,17:01,40,214,12,26,31.6,,,
Jaret Anderson-Dolan,19,LAK,C,5,0,1,1,-2,0,0,0,0,0,1,0,0,6,0,58,11:36,2,5,4,5,44.4,,,
Lias Andersson,20,NYR,C,42,2,4,6,-13,29,1,0,1,0,4,0,0,41,4.9,450,10:43,8,60,84,106,44.2,,,
Rasmus Andersson,22,CGY,D,79,2,17,19,17,23,2,0,0,0,15,2,0,115,1.7,1267,16:02,83,52,0,0,,,,
Sven Andrighetto,25,COL,RW,64,7,10,17,10,14,7,0,0,1,10,0,0,95,7.4,708,11:04,32,29,3,8,27.3,,,
