Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EVA,PPA,SHA,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
Justin Abdelkader,32,DET,LW,49,0,3,3,-14,25,0,0,0,0,3,0,0,40,0,565,11:32,26,103,38,31,55.1
Pontus Aberg,26,TOR,LW,5,0,1,1,0,0,0,0,0,0,1,0,0,4,0,44,8:42,1,1,0,0,
Vitaly Abramov,21,OTT,RW,2,1,0,1,0,2,1,0,0,0,0,0,0,3,33.3,12,5:47,0,0,0,0,
Noel Acciari,28,FLA,C,66,20,7,27,2,21,19,0,1,5,7,0,0,108,18.5,1054,15:58,103,121,381,414,47.9
Andrew Agozzino,29,TOT,LW,22,1,2,3,3,4,1,0,0,0,2,0,0,10,10,162,7:21,7,25,38,37,50.7
Sebastian Aho,22,CAR,F,68,38,28,66,10,26,26,8,4,5,18,9,1,206,18.4,1321,19:25,20,55,409,480,46
Karl Alzner,31,MTL,D,4,0,0,0,-1,0,0,0,0,0,0,0,0,4,0,56,13:55,4,1,0,0,
Michael Amadio,23,LAK,C,68,6,10,16,-11,10,6,0,0,0,7,3,0,99,6.1,885,13:01,22,21,233,249,48.3
Joey Anderson,21,NJD,RW,18,4,2,6,1,2,4,0,0,0,2,0,0,21,19,238,13:13,6,16,3,3,50
Josh Anderson,25,CBJ,RW,26,1,3,4,-8,17,1,0,0,0,3,0,0,63,1.6,418,16:04,13,68,7,12,36.8
Michael Anderson,20,LAK,D,6,1,0,1,4,0,1,0,0,1,0,0,0,9,11.1,109,18:09,10,10,0,0,
Jaret Anderson-Dolan,20,LAK,C,4,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,41,10:16,0,3,5,8,38.5
Lias Andersson,21,NYR,C,17,0,1,1,-8,4,0,0,0,0,1,0,0,13,0,162,9:33,8,20,41,47,46.6
Rasmus Andersson,23,CGY,D,70,5,17,22,-7,57,5,0,0,0,13,4,0,124,4,1396,19:56,83,51,0,0,
Andy Andreoff,28,PHI,LW,14,0,1,1,-3,2,0,0,0,0,1,0,0,14,0,119,8:32,4,20,4,4,50
Anthony Angello,23,PIT,C,8,1,0,1,-1,4,1,0,0,0,0,0,0,5,20,46,5:43,5,13,0,1,0
Artem Anisimov,31,OTT,C,49,15,5,20,-15,8,10,5,0,1,4,1,0,87,17.2,679,13:51,25,6,185,185,50
Mason Appleton,24,WPG,C,46,5,3,8,-9,20,4,0,1,0,3,0,0,55,9.1,513,11:10,12,20,5,8,38.5
Josh Archibald,27,EDM,RW,62,12,9,21,-8,12,10,0,2,3,8,0,1,64,18.8,820,13:14,44,165,0,2,0
Joel Armia,26,MTL,RW,58,16,14,30,2,28,10,3,3,2,12,1,1,155,10.3,999,17:14,25,146,4,7,36.4
Viktor Arvidsson,26,NSH,LW,57,15,13,28,-4,26,11,4,0,1,9,4,0,127,11.8,924,16:12,24,27,11,8,57.9
Rasmus Asplund,22,BUF,F,29,1,2,3,-4,6,1,0,0,0,1,0,1,36,2.8,314,10:50,7,20,49,65,43
Zach Aston-Reese,25,PIT,C,57,6,7,13,6,28,5,0,1,0,7,0,0,98,6.1,822,14:26,30,136,7,16,30.4
Andreas Athanasiou,25,TOT,C,55,11,15,26,-46,30,8,3,0,2,11,4,0,129,8.5,871,15:51,24,36,43,60,41.7
Cam Atkinson,30,CBJ,RW,44,12,14,26,2,6,9,3,0,2,9,5,0,148,8.1,785,17:51,21,18,27,30,47.4
Nicolas Aube-Kubel,23,PHI,RW,36,7,8,15,1,19,5,2,0,1,7,1,0,48,14.6,406,11:17,16,82,1,2,33.3
David Backes,35,TOT,C,22,1,5,6,-1,22,0,1,0,1,5,0,0,34,2.9,207,9:24,8,38,27,44,38
Mikael Backlund,30,CGY,C,70,16,29,45,3,26,10,3,3,3,22,7,0,157,10.2,1256,17:57,11,44,368,410,47.3
Nicklas Backstrom,32,WSH,C,61,12,42,54,-1,14,10,2,0,0,26,16,0,132,9.1,1160,19:01,45,30,516,532,49.2
Sven Baertschi,27,VAN,LW,6,0,2,2,-2,4,0,0,0,0,0,2,0,7,0,71,11:49,0,5,0,0,
Josh Bailey,30,NYI,C,68,14,29,43,-12,10,11,2,1,2,22,7,0,94,14.9,1149,16:54,48,20,128,129,49.8
Justin Bailey,24,VAN,RW,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,5:20,0,4,0,0,
Rudolfs Balcers,22,OTT,LW,15,1,2,3,-2,0,1,0,0,1,2,0,0,23,4.3,182,12:08,7,19,0,2,0
Ivan Barbashev,24,STL,C,69,11,15,26,3,23,9,0,2,2,14,0,1,75,14.7,928,13:27,33,144,149,179,45.4
Riley Barber,25,MTL,RW,9,0,0,0,-1,2,0,0,0,0,0,0,0,6,0,74,8:15,1,15,1,0,100
Mark Barberio,29,COL,D,21,0,2,2,3,16,0,0,0,0,2,0,0,29,0,296,14:06,19,13,0,0,
Cole Bardreau,26,NYI,F,10,1,1,2,-2,6,1,0,0,1,1,0,0,10,10,89,8:52,1,21,21,29,42
Aleksander Barkov,24,FLA,C,66,20,42,62,2,18,13,7,0,2,28,13,1,172,11.6,1321,20:01,35,21,653,550,54.3
Tyson Barrie,28,TOR,D,70,5,34,39,-7,16,4,1,0,0,23,11,0,169,3,1531,21:53,76,47,0,0,
Mathew Barzal,22,NYI,C,68,19,41,60,5,44,15,4,0,2,33,8,0,171,11.1,1363,20:03,43,22,228,320,41.6
Drake Batherson,21,OTT,C,23,3,7,10,-12,13,2,1,0,0,2,5,0,32,9.4,358,15:34,11,51,4,3,57.1
Jay Beagle,34,VAN,RW,55,2,6,8,-9,38,1,0,1,1,5,0,1,49,4.1,691,12:34,42,69,401,277,59.1
Ethan Bear,22,EDM,D,71,5,16,21,-4,33,4,1,0,1,15,1,0,99,5.1,1560,21:58,106,59,0,0,
J.C. Beaudin,22,OTT,C,22,0,1,1,-4,7,0,0,0,0,1,0,0,18,0,190,8:38,11,51,62,56,52.5
Nicolas Beaudin,20,CHI,D,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,17,17:01,2,2,0,0,
Nathan Beaulieu,27,WPG,D,38,1,7,8,15,29,1,0,0,1,7,0,0,38,2.6,646,17:00,47,62,0,0,
Anthony Beauvillier,22,NYI,LW,68,18,21,39,-11,15,14,3,1,3,17,4,0,132,13.6,1174,17:16,36,86,9,4,69.2
Pierre-Edouard Bellemare,34,COL,LW,69,9,13,22,2,17,7,0,2,0,11,0,2,85,10.6,926,13:25,46,43,419,371,53
Kieffer Bellows,21,NYI,LW,8,2,1,3,3,2,2,0,0,1,1,0,0,11,18.2,85,10:39,4,12,0,0,
Emil Bemstrom,20,CBJ,C,56,10,10,20,-10,8,5,5,0,4,7,3,0,97,10.3,687,12:16,17,52,4,9,30.8
Jamie Benn,30,DAL,LW,69,19,20,39,-4,53,11,8,0,4,14,6,0,163,11.7,1134,16:26,57,167,244,193,55.8
Jordie Benn,32,VAN,D,44,1,6,7,-7,17,1,0,0,1,6,0,0,58,1.7,717,16:17,62,45,0,0,
