"player","Pos","age","toi","G","A","pts","ppg","ppa","ppp","sog","blk","hit","pim","fow","fol"
"A.J. Greer","F",24,1.25,0.417892150950787,1.21305190110051,1.6309440520513,0.00434820627575938,0.00664906407425321,0.0109972703500126,7.17020294353279,3.34387771168022,15.9184551071955,13.204706076808,1.31138027469028,1.97019881697514
"Aaron Ekblad","D",24,22.48,9.75880960369457,28.5712177384523,38.3300273421469,2.61465332051235,5.5849968492746,8.19965016978695,163.42344858633,91.9191840132946,65.1870956847316,41.8734900152967,9.29720981376026e-05,0.000190903863956165
"Aaron Ness","D",30,11.08,0.0172464626758496,3.95943039548368,3.97667685815953,0.00312612112688141,0.0139917795708864,0.0171179006977678,20.699718074139,48.2513132966533,26.499587728767,20.1764527740537,0.000161969338280318,0.000368771858890977
"Adam Boqvist","D",20,13.43,5.07776138241077,11.4443520119003,16.522113394311,0.00290179774102982,2.54359611253456,2.54649791027559,63.6063182157013,54.7037908700402,42.0433907474263,7.69914929368886,6.74836683960423e-05,0.000134967336792085
"Adam Brooks","F",24,7.47,0.087303206110939,21.5564970057681,21.6438002118791,0.0178603811769082,0.0269744521445337,0.0448348333214419,15.0541375968644,7.3382156542241,0.475610598126352,0.176988862352012,36.7196037142894,36.7195397558966
"Adam Clendening","D",28,2.15,0.00399549727558153,1.71241144121656,1.71640693849214,0.000757800428906364,0.00316757923710599,0.00392537966601235,7.72796144251782,9.42097591922206,3.18868977249251,1.72567200812799,5.78504953056112e-05,0.000119224814098681
"Adam Cracknell","F",35,2.1,0.0192487039997848,0.0264243736678994,0.0456730776676842,0.00391433124507559,0.00598560362728276,0.00989993487235835,17.9379852458914,1.15483114061219,35.6378130419467,0.0396789327758495,3.56164736260689,3.56156853682559
"Adam Erne","F",25,12.12,6.61268039658134,7.92746439972211,14.5401447963034,0.817457518827142,0.0158043764500939,0.833261895277235,90.3889731721598,32.087701337157,179.227179990832,42.048398118897,21.024275978418,15.6185591976344
"Adam Fox","D",22,15.14,5.88733812593078,25.0093580118263,30.8966961377571,0.736614672545622,8.82085983025299,9.55747450279861,92.0595943154266,67.7939648841134,25.9410601363359,23.5841045178467,5.73702255444599e-05,0.00011474045108892
"Adam Gaudette","F",24,12.56,8.77860646276581,14.5508208516804,23.3294273144462,2.16371070378969,5.23101045812155,7.39472116191125,100.087170641548,29.1254056473668,45.2842683588427,28.1935535485856,192.233294354903,282.810650116636
